"filename", "language", "JavaScript", "Markdown", "JSON with Comments", "JSON", "HTML", "PHP", "JavaScript JSX", "PostCSS", "XML", "YAML", "comment", "blank", "total"
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\database\seeders\ForumSeeder.php", "PHP", 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 9, 59
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\database\seeders\InvoiceDetailSeeder.php", "PHP", 0, 0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 9, 72
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\database\seeders\InvoiceSeeder.php", "PHP", 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 8, 58
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\database\seeders\PhantomSeeder.php", "PHP", 0, 0, 0, 0, 0, 136, 0, 0, 0, 0, 0, 6, 142
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\database\seeders\ProductSeeder.php", "PHP", 0, 0, 0, 0, 0, 357, 0, 0, 0, 0, 0, 6, 363
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\database\seeders\ReportSeeder.php", "PHP", 0, 0, 0, 0, 0, 71, 0, 0, 0, 0, 2, 10, 83
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\database\seeders\ReportVoteSeeder.php", "PHP", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 1, 7, 33
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\database\seeders\UserSeeder.php", "PHP", 0, 0, 0, 0, 0, 80, 0, 0, 0, 0, 0, 6, 86
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\my-app\README.md", "Markdown", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 17
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\my-app\eslint.config.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 30
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\my-app\index.html", "HTML", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\my-app\package-lock.json", "JSON", 0, 0, 0, 2975, 0, 0, 0, 0, 0, 0, 0, 1, 2976
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\my-app\package.json", "JSON", 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 1, 30
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\my-app\public\favicon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\my-app\public\icons.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 1, 25
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\my-app\src\App.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 158, 0, 0, 0, 27, 185
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\my-app\src\App.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 115, 0, 0, 0, 0, 7, 122
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\my-app\src\assets\react.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\my-app\src\assets\vite.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
